"Song ID","Syllable ID","Latitude","longitude","Start _freq","End_freq","Average_freq","Highest_freq","Lowest_freq","Bandwidth","Duration","Excursion","Average_slope","Concavity"
"M1 Apr17 s3","s5",21.3337,-158.07645,4593.75,3000,3625,4593.75,3000,1593.75,0.0746666666667,31.7579897495,31.3895089286,0
"M1 Apr17 s3","s6",21.3337,-158.07645,4500,4500,4462.5,4687.5,4312.5,375,0.048,19.8795851076,19.53125,0
"M1 Apr17 s3","s7",21.3337,-158.07645,2812.5,2718.75,3000,3281.25,2718.75,562.5,0.0213333333333,48.3710410819,61.5234375,1
"M1 Apr17 s3","s8",21.3337,-158.07645,3281.25,3000,3265.625,3750,3000,750,0.0746666666667,19.0005012889,17.8444602273,1
"M1 Apr17 s3","s9",21.3337,-158.07645,3562.5,2718.75,3401.44230769,4500,2343.75,2156.25,0.202666666667,36.7683659234,36.5439967105,9
"M1 Apr17 s3","s10",21.3337,-158.07645,3562.5,2343.75,3311.07954545,3562.5,2343.75,1218.75,0.122666666667,30.3337371777,28.0412946429,6
"M1 Apr17 s3","s11",21.3337,-158.07645,3000,2718.75,2800.78125,3000,2718.75,281.25,0.0373333333333,8.11709134326,7.53348214286,0
"M1 Apr17 s3","s12",21.3337,-158.07645,4500,2531.25,3317.70833333,4500,2531.25,1968.75,0.186666666667,16.1211230471,15.5691964286,2
"M1 Apr17 s3","s13",21.3337,-158.07645,3000,2531.25,2820.65217391,3093.75,2437.5,656.25,0.117333333333,7.92456867483,7.19105113636,0
"M1 Apr17 s3","s14",21.3337,-158.07645,3562.5,2625,2965.90909091,3562.5,2625,937.5,0.0533333333333,24.7312608325,24.609375,0
"M1 Apr17 s3","s15",21.3337,-158.07645,2250,2718.75,2579.63709677,2718.75,2250,468.75,0.176,4.49487320374,3.80859375,0
"M1 Apr17 s3","s16",21.3337,-158.07645,3281.25,2437.5,3589.28571429,4312.5,2250,2062.5,0.181333333333,23.5455051911,23.2651654412,1
"M1 Apr17 s3","s17",21.3337,-158.07645,2343.75,3000,2896.38157895,3000,2343.75,656.25,0.106666666667,6.9080289048,6.8359375,0
