"M009","M5S01.wav","s1",3186.9140625,3273.046875,3229.98046875,3445.3125,3014.6484375,430.6640625,0.0174149659864,44.5266442033,44.513168335,0
"M009","M5S01.wav","s2",3617.578125,2756.25,3194.74431818,3617.578125,2756.25,861.328125,0.0580498866213,35.7226072077,35.610534668,2
"M009","M5S01.wav","s3",4737.3046875,3789.84375,4112.84179688,4737.3046875,3531.4453125,1205.859375,0.0696598639456,21.0462941712,20.9077002785,1
"M009","M5S01.wav","s4",4737.3046875,3703.7109375,4277.9296875,4737.3046875,3703.7109375,1033.59375,0.0464399092971,22.2832364323,22.2565841675,0
"M009","M5S01.wav","s5",3789.84375,3789.84375,3883.80681818,4220.5078125,3531.4453125,689.0625,0.0580498866213,32.8562921509,32.6429901123,3
"M009","M5S01.wav","s6",3789.84375,3703.7109375,3789.84375,4048.2421875,3445.3125,602.9296875,0.0638548752834,20.4357360565,21.4322662354,2
"M009","M5S01.wav","s7",3617.578125,3703.7109375,3771.38671875,4220.5078125,3014.6484375,1205.859375,0.0754648526077,33.1949139922,33.0995354286,2
"M009","M5S01.wav","s8",3789.84375,2756.25,3186.9140625,3789.84375,2756.25,1033.59375,0.0348299319728,29.6983586232,29.6754455566,0
"M009","M5S01.wav","s9",2842.3828125,2670.1171875,2682.421875,2842.3828125,2583.984375,258.3984375,0.0348299319728,10.2475883285,9.89181518555,0
"M009","M5S01.wav","s10",4392.7734375,3273.046875,3466.84570312,4392.7734375,2928.515625,1464.2578125,0.0638548752834,28.4353286221,28.3265616677,1
"M009","M5S01.wav","s11",3273.046875,4134.375,3433.0078125,4134.375,2842.3828125,1291.9921875,0.0406349206349,42.5515566353,43.2766914368,1
"M009","M5S01.wav","s12",4478.90625,3186.9140625,3479.765625,4478.90625,3014.6484375,1464.2578125,0.0812698412698,24.4693323211,24.3762588501,1
"M009","M5S01.wav","s13",3014.6484375,2928.515625,3100.78125,3617.578125,2842.3828125,775.1953125,0.0580498866213,25.5385504903,25.2241287231,1
"M009","M5S01.wav","s14",3962.109375,4048.2421875,3544.36523438,4134.375,2928.515625,1205.859375,0.116099773243,32.0714095405,33.1896430568,3
"M009","M5S01.wav","s15",3703.7109375,3359.1796875,3326.87988281,3789.84375,2842.3828125,947.4609375,0.0406349206349,42.4127328305,42.3934936523,1
"M009","M5S01.wav","s16",4306.640625,3273.046875,3531.4453125,4306.640625,2670.1171875,1636.5234375,0.0986848072562,54.2403807146,54.2504239082,4
"M009","M5S01.wav","s17",3531.4453125,3014.6484375,3289.453125,3531.4453125,2928.515625,602.9296875,0.116099773243,10.9479090591,10.3864059448,1
"M009","M5S01.wav","s18",4392.7734375,3186.9140625,3577.3828125,4392.7734375,3186.9140625,1205.859375,0.087074829932,27.8465821194,28.0856895447,2
"M009","M5S02.wav","s1",3789.84375,3186.9140625,3462.5390625,3789.84375,3186.9140625,602.9296875,0.0232199546485,25.9870629153,25.9660148621,0
"M009","M5S02.wav","s2",3962.109375,3445.3125,3601.91761364,4048.2421875,3014.6484375,1033.59375,0.0580498866213,26.8282151853,26.707901001,1
"M009","M5S02.wav","s3",4392.7734375,3962.109375,4319.89182692,4909.5703125,3875.9765625,1033.59375,0.0812698412698,22.5586114008,25.9660148621,1
"M009","M5S02.wav","s4",3789.84375,3531.4453125,3543.75,3789.84375,3445.3125,344.53125,0.0754648526077,8.54224632205,7.98954303448,0
"M009","M5S02.wav","s5",4392.7734375,3962.109375,4056.85546875,4651.171875,3445.3125,1205.859375,0.0522448979592,38.0431465063,37.9186248779,2
"M009","M5S02.wav","s6",4478.90625,4134.375,4374.31640625,4909.5703125,4048.2421875,861.328125,0.087074829932,19.9525048056,22.0663569524,1
"M009","M5S03.wav","s1",3962.109375,3273.046875,3477.61230469,3962.109375,3100.78125,861.328125,0.0464399092971,22.2832364323,23.3164215088,0
"M009","M5S03.wav","s2",4048.2421875,3273.046875,3648.89914773,4134.375,3186.9140625,947.4609375,0.0696598639456,21.1305430292,23.245765686,1
"M009","M5S03.wav","s3",3789.84375,3359.1796875,3637.45492788,4134.375,2928.515625,1205.859375,0.0696598639456,28.5415700938,28.4389686584,2
"M009","M5S03.wav","s4",3789.84375,3100.78125,3605.2734375,4220.5078125,3100.78125,1119.7265625,0.087074829932,21.8012756315,24.3490835337,1
"M009","M5S03.wav","s5",3789.84375,3359.1796875,3677.20853365,4220.5078125,3014.6484375,1205.859375,0.0754648526077,26.2738038384,25.9660148621,2
"M009","M5S03.wav","s6",3186.9140625,3014.6484375,3029.00390625,3186.9140625,2928.515625,258.3984375,0.0638548752834,6.04413908828,5.39553555575,0
"M009","M5S03.wav","s7",3875.9765625,3014.6484375,3448.38867188,3875.9765625,2670.1171875,1205.859375,0.156734693878,11.3815346249,10.9909057617,1
"M009","M5S03.wav","s8",4565.0390625,4220.5078125,4510.22727273,4737.3046875,4220.5078125,516.796875,0.0696598639456,17.5166250266,19.7836303711,2
"M009","M5S03.wav","s9",3531.4453125,2928.515625,3268.51356908,3531.4453125,2928.515625,602.9296875,0.104489795918,8.04119399497,7.41886138916,0
"M009","M5S03.wav","s10",4306.640625,3359.1796875,3728.3203125,4306.640625,3273.046875,1033.59375,0.0812698412698,22.424739227,23.3979474581,2
"M009","M5S03.wav","s11",2928.515625,3273.046875,3205.37109375,3617.578125,2583.984375,1033.59375,0.0754648526077,41.1091711297,41.089078463,3
"M009","M5S03.wav","s12",3617.578125,3273.046875,3227.44715074,3703.7109375,2842.3828125,861.328125,0.0986848072562,26.37813666,26.8933725357,2
"M009","M5S03.wav","s13",2325.5859375,2411.71875,2831.61621094,3617.578125,2325.5859375,1291.9921875,0.087074829932,28.8371293819,28.6862640381,1
"M009","M5S04.wav","s1",3962.109375,3359.1796875,3543.75,3962.109375,3186.9140625,775.1953125,0.0406349206349,23.3420727094,24.7295379639,0
"M009","M5S04.wav","s2",4048.2421875,3014.6484375,3471.15234375,4048.2421875,3014.6484375,1033.59375,0.0522448979592,23.2132120572,23.0809020996,0
"M009","M5S04.wav","s3",3875.9765625,3617.578125,3826.7578125,4306.640625,3186.9140625,1119.7265625,0.0754648526077,28.6309487265,28.534082266,2
"M009","M5S04.wav","s4",4392.7734375,4048.2421875,4326.51742788,4909.5703125,4048.2421875,861.328125,0.0696598639456,20.2112882099,19.7836303711,1
"M009","M5S04.wav","s5",3875.9765625,3014.6484375,3316.11328125,3875.9765625,2756.25,1119.7265625,0.0522448979592,39.5846340137,39.5672607422,2
"M009","M5S04.wav","s6",3531.4453125,3789.84375,3827.7421875,4306.640625,3445.3125,861.328125,0.139319727891,20.5498972961,20.4018688202,3
"M009","M5S05.wav","s1",3531.4453125,3531.4453125,3195.98067434,3703.7109375,2756.25,947.4609375,0.11029478458,26.7266530408,27.2024917603,3
"M009","M5S05.wav","s2",4565.0390625,3617.578125,3986.71875,4565.0390625,3531.4453125,1033.59375,0.0754648526077,19.5786041075,19.4031759409,1
"M009","M5S05.wav","s3",4651.171875,3789.84375,4087.39346591,4651.171875,3789.84375,861.328125,0.0696598639456,19.9704062413,21.5146980286,2
